benchmark,model,baseline_accuracy,signed_delta,ins_adjusted,wtd_adjusted
mmlu_pro,gpt55,0.802,0.003,0.024,0.100
mmlu_pro,gpt54,0.812,-0.021,0.046,0.262
mmlu_pro,gpt41,0.780,0.000,0.043,0.197
mmlu_pro,deep,0.790,0.002,0.048,0.159
mmlu_pro,grok,0.679,0.001,0.054,0.214
mmlu_pro,mistr,0.749,-0.036,0.083,0.473
mmlu_pro,gptos,0.774,-0.006,0.036,0.153
mmlu_pro,gemin,0.817,0.023,0.059,0.176
gpqa,gpt55,0.638,0.006,0.049,0.122
gpqa,gpt54,0.631,-0.008,0.062,0.217
gpqa,gpt41,0.573,-0.009,0.056,0.227
gpqa,deep,0.700,-0.002,0.030,0.077
gpqa,grok,0.545,0.006,0.066,0.227
gpqa,mistr,0.507,-0.030,0.113,0.532
gpqa,gptos,0.634,-0.021,0.012,0.085
gpqa,gemin,0.572,0.085,0.136,0.215
hle,gpt55,0.129,0.000,0.014,0.043
hle,gpt54,0.115,-0.015,0.031,0.188
hle,gpt41,0.038,-0.002,0.010,0.054
hle,deep,0.078,-0.002,0.012,0.042
hle,grok,0.091,-0.011,0.025,0.156
hle,mistr,0.051,0.000,0.027,0.122
hle,gptos,0.047,-0.002,0.008,0.033
hle,gemin,0.065,0.007,0.031,0.106
simpleqa,gpt55,0.500,-0.009,0.024,0.110
simpleqa,gpt54,0.310,0.004,0.023,0.074
simpleqa,gpt41,0.304,-0.007,0.031,0.118
simpleqa,deep,0.418,-0.059,0.069,0.274
simpleqa,grok,0.195,-0.004,0.047,0.207
simpleqa,mistr,0.287,-0.018,0.096,0.516
simpleqa,gptos,0.111,-0.005,0.018,0.092
simpleqa,gemin,0.345,-0.020,0.070,0.344
